hanzi,pinyin,meaning
裤带,[ku4 dai4],belt (in trousers)
裤管,[ku4 guan3],trouser leg
裤腰带,[ku4 yao1 dai4],waistband
裤腿,[ku4 tui3],trouser leg
裤衩,[ku4 cha3],underpants
裤裙,[ku4 qun2],culottes
裤裆,[ku4 dang1],crotch of trousers
裤袜,[ku4 wa4],pantyhose
裤头,[ku4 tou2],(dialect) underpants
裢,[lian2],pouch hung from belt
褵,[li2],bride's veil or kerchief
褶,[xi2],(arch.) court dress
褶,[zhe3],pleat
褶子,[zhe3 zi5],pleat
褶子了,[zhe3 zi5 le5],to make a mess of sth
褶曲,[zhe3 qu1],creasing
褶皱,[zhe3 zhou4],fold
褶皱山系,[zhe3 zhou4 shan1 xi4],fold mountain system (geology)
褶皱山脉,[zhe3 zhou4 shan1 mai4],fold mountain range (geology)
褛,[lu:3],soiled
亵,[xie4],obscene
亵慢,[xie4 man4],irreverent
亵昵,[xie4 ni4],familiar (i.e. rude)
亵服,[xie4 fu2],informal wear
亵渎,[xie4 du2],to blaspheme
亵渎神明,[xie4 du2 shen2 ming2],to blaspheme
亵黩,[xie4 du2],to blaspheme
褽,[wei4],collar
褾,[biao3],cuff
襁,[qiang3],cloth for carrying baby on back
襁褓,[qiang3 bao3],swaddling clothes
褒,[bao1],variant of 褒[bao1]
襄,[Xiang1],surname Xiang
襄,[xiang1],to help
襄垣,[Xiang1 yuan2],Xiangyuan county in Changzhi 長治|长治[Chang2 zhi4], Shanxi
襄垣县,[Xiang1 yuan2 xian4],Xiangyuan county in Changzhi 長治|长治[Chang2 zhi4], Shanxi
襄城,[Xiang1 cheng2],Xiangcheng county in Xuchang city 許昌市|许昌市[Xu3 chang1 shi4], Henan
襄城区,[Xiang1 cheng2 qu1],Xiangcheng district of Xiangfan city 襄樊市[Xiang1 fan2 shi4], Hubei
襄城县,[Xiang1 cheng2 xian4],Xiangcheng county in Xuchang city 許昌市|许昌市[Xu3 chang1 shi4], Henan
襄樊,[Xiang1 fan2],Xiangfan prefecture level city in Hubei
襄樊市,[Xiang1 fan2 shi4],Xiangfan prefecture level city in Hubei
襄汾,[Xiang1 fen2],Xiangfen county in Linfen 臨汾|临汾[Lin2 fen2], Shanxi
襄汾县,[Xiang1 fen2 xian4],Xiangfen county in Linfen 臨汾|临汾[Lin2 fen2], Shanxi
襄阳,[Xiang1 yang2],Xiangyang district of Xiangfan city 襄樊市[Xiang1 fan2 shi4], Hubei
襄阳区,[Xiang1 yang2 qu1],Xiangyang district of Xiangfan city 襄樊市[Xiang1 fan2 shi4], Hubei
襄阳地区,[Xiang1 yang2 di4 qu1],old term for Xiangyang district of Xiangfan city 襄樊市[Xiang1 fan2 shi4], Hubei
襆,[fu2],hemless skirt
裥,[jian3],folds
襉,[jian3],variant of 襇|裥[jian3]
襋,[ji2],coat collar
襌,[dan1],garment without a lining
杂,[za2],variant of 雜|杂[za2]
袯,[bo2],see 襏襫|袯襫[bo2 shi4]
袯襫,[bo2 shi4],woven rush raincoat
袄,[ao3],coat
袄子,[ao3 zi5],coat
袄教,[Ao3 jiao4],Zoroastrianism
襚,[sui4],grave-clothes
襛,[nong2],bright light
襜,[chan1],the front of clothes
裣,[lian3],see 襝衽|裣衽[lian3 ren4]
裣衽,[lian3 ren4],variant of 斂衽|敛衽[lian3 ren4]
襞,[bi4],creases
襟,[jin1],lapel
襟兄,[jin1 xiong1],husband of wife's older sister
襟副翼,[jin1 fu4 yi4],flaperon (aeronautics)
襟度,[jin1 du4],broad-minded
襟弟,[jin1 di4],husband of wife's younger sister
襟怀,[jin1 huai2],bosom (the seat of emotions)
襟怀坦白,[jin1 huai2 tan3 bai2],open and candid (idiom); not hiding anything
襟怀夷旷,[jin1 huai2 yi2 kuang4],broad-minded
襟抱,[jin1 bao4],ambition
襟素,[jin1 su4],one's true heart
襟翼,[jin1 yi4],(aircraft) wing flap
裆,[dang1],crotch
襡,[shu2],short skirt or tunic
袒,[tan3],old variant of 袒[tan3]
襢,[zhan4],unadorned but elegant dress
褴,[lan2],ragged garments
褴褛,[lan2 lu:3],ragged
襥,[fu2],old variant of 襆[fu2]
襦,[ru2],jacket
袜,[wa4],socks
袜套,[wa4 tao4],leg warmers
袜子,[wa4 zi5],socks
袜带,[wa4 dai4],garter
袜裤,[wa4 ku4],leggings
襫,[shi4],see 襏襫|袯襫[bo2 shi4]
䙓,[bai3],hem at the bottom of garment
襭,[xie2],carry with the front of a robe
襮,[bo2],embroidered collar
衬,[chen4],(of garments) against the skin
衬垫,[chen4 dian4],pad
衬托,[chen4 tuo1],to set off
衬线,[chen4 xian4],serif (typography)
衬衣,[chen4 yi1],shirt
衬衫,[chen4 shan1],shirt
衬裙,[chen4 qun2],petticoat
衬里,[chen4 li3],lining
衬裤,[chen4 ku4],underpants
袭,[xi2],to attack
袭击,[xi2 ji1],attack (esp. surprise attack)
袭击者,[xi2 ji1 zhe3],attacker
襕,[lan2],full length gown (old)
襶,[dai4],untidy (in dress)
襻,[pan4],loop
襼,[yi4],sleeve of dress
襽,[lan2],old variant of 襴|襕[lan2]
襾,[ya4],cover
西,[Xi1],the West
西,[xi1],west
西乃,[Xi1 nai3],Sinai
西乃山,[Xi1 nai3 Shan1],Mount Sinai
西亚,[Xi1 Ya4],Southwest Asia
西伯利亚,[Xi1 bo2 li4 ya4],Siberia
西伯利亚银鸥,[Xi1 bo2 li4 ya4 yin2 ou1],(bird species of China) Vega gull (Larus vegae)
西来庵,[Xi1 lai2 an1],Xilai Temple (Tainan, Taiwan)
西侧,[xi1 ce4],west side
西元,[xi1 yuan2],Christian era
西元前,[xi1 yuan2 qian2],BCE (before the Common Era)
西充,[Xi1 chong1],Xichong county in Nanchong 南充[Nan2 chong1], Sichuan
西充县,[Xi1 chong1 xian4],Xichong county in Nanchong 南充[Nan2 chong1], Sichuan
西北,[Xi1 bei3],Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)
西北,[xi1 bei3],northwest
西北大学,[Xi1 bei3 Da4 xue2],Northwest University
西北工业大学,[Xi1 bei3 Gong1 ye4 Da4 xue2],Northwestern Polytechnical University
西北方,[xi1 bei3 fang1],northwest
西北航空公司,[Xi1 bei3 Hang2 kong1 Gong1 si1],Northwest Airlines
西北农林科技大学,[Xi1 bei3 Nong2 lin2 Ke1 ji4 Da4 xue2],North West Agriculture and Forestry University
西北部,[Xi1 bei3 bu4],northwest part
西北雨,[xi1 bei3 yu3],thundershower (Tw)
西半球,[xi1 ban4 qiu2],Western Hemisphere
西南,[xi1 nan2],southwest
西南中沙群岛,[Xi1 nan2 zhong1 sha1 Qun2 dao3],Xinanzhongsha islands, Hainan
西南亚,[xi1 nan2 ya4],southwest Asia
西南交通大学,[Xi1 nan2 Jiao1 tong1 Da4 xue2],Southwest Jiaotong University
西南冠纹柳莺,[xi1 nan2 guan1 wen2 liu3 ying1],(bird species of China) Blyth's leaf warbler (Phylloscopus reguloides)
西南大学,[Xi1 nan2 Da4 xue2],Southwest University (Chongqing)
西南栗耳凤鹛,[xi1 nan2 li4 er3 feng4 mei2],(bird species of China) striated yuhina (Yuhina castaniceps)
西南部,[xi1 nan2 bu4],southwest part
西印度,[Xi1 Yin4 du4],West Indies (i.e. the Caribbean)
西吉,[Xi1 ji2],Xiji county in Guyuan 固原[Gu4 yuan2], Ningxia
西吉县,[Xi1 ji2 xian4],Xiji county in Guyuan 固原[Gu4 yuan2], Ningxia
西周,[Xi1 Zhou1],Western Zhou (1027-771 BC)
西和,[Xi1 he2],Xihe county in Longnan 隴南|陇南[Long3 nan2], Gansu
西和县,[Xi1 he2 xian4],Xihe county in Longnan 隴南|陇南[Long3 nan2], Gansu
西哈努克,[Xi1 ha1 nu3 ke4],(King) Sihanouk (of Cambodia)
西单,[Xi1 dan1],Xidan neighborhood of central Beijing
西固,[Xi1 gu4],Xigu District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu
西固区,[Xi1 gu4 Qu1],Xigu District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu
西地那非,[xi1 di4 na4 fei1],sildenafil (virility drug) (loanword)
西坡拉,[Xi1 po1 la1],Zipporah, wife of Moses
西城区,[Xi1 cheng2 qu1],Xicheng district of central Beijing
西域,[Xi1 yu4],Western Regions (Han Dynasty term for regions beyond Yumen Pass 玉門關|玉门关[Yu4 men2 Guan1])
西域记,[Xi1 yu4 ji4],Report of the regions west of Great Tang
西塔,[xi1 ta3],theta (Greek letter Θθ)
西塞山,[Xi1 sai4 shan1],Xisaishan district of Huangshi city 黃石市|黄石市[Huang2 shi2 shi4], Hubei
西塞山区,[Xi1 sai4 shan1 qu1],Xisaishan district of Huangshi city 黃石市|黄石市[Huang2 shi2 shi4], Hubei
西塞罗,[Xi1 sai1 luo2],Marcus Tullius Cicero (106-43 BC), famous Roman politician, orator and philosopher, murdered at the orders of Marc Anthony
西夏,[Xi1 Xia4],Western Xia dynasty 1038-1227 of Tangut people 黨項|党项 occupying modern Ningxia and parts of Gansu and Shaanxi, overthrown by Mongols
西夏区,[Xi1 xia4 qu1],Xixia district of Yinchuan city 銀川市|银川市[Yin2 chuan1 shi4], Ningxia
西外,[Xi1 Wai4],abbr. for 西安外國語大學|西安外国语大学[Xi1 an1 Wai4 guo2 yu3 Da4 xue2]
西天,[Xi1 tian1],the Western Paradise (Buddhism)
西太平洋,[xi1 Tai4 ping2 Yang2],the western Pacific Ocean
西奇,[xi1 qi2],sygyt (overtone singing)
西奈,[Xi1 nai4],Sinai Peninsula
西奈半岛,[Xi1 nai4 Ban4 dao3],Sinai Peninsula
西奈山,[Xi1 nai4 Shan1],Mount Sinai
西子,[Xi1 zi3],another name for Xishi 西施[Xi1 shi1]
西子捧心,[Xi1 zi3 peng3 xin1],lit. Xishi clasps at her heart (idiom)
西孟加拉邦,[Xi1 Meng4 jia1 la1 bang1],West Bengal
西学,[Xi1 xue2],Western learning (intellectual movement in the late Qing)
西安,[Xi1 an1],Xi'an, sub-provincial city and capital of Shaanxi 陝西省|陕西省[Shan3 xi1 Sheng3] in northwest China
西安事变,[Xi1 an1 Shi4 bian4],Xi'an Incident of 12th December 1936 (kidnap of Chiang Kai-shek 蔣介石|蒋介石[Jiang3 Jie4 shi2])
西安交通大学,[Xi1 an1 Jiao1 tong1 Da4 xue2],Xi'an Jiaotong University (XJTU)
西安区,[Xi1 an1 qu1],Xi'an district of Liaoyuan city 遼源市|辽源市, Jilin
西安外国语大学,[Xi1 an1 Wai4 guo2 yu3 Da4 xue2],Xi'an International Studies University (XISU)
西安市,[Xi1 an1 Shi4],Xi’an, sub-provincial city and capital of Shaanxi 陝西省|陕西省[Shan3 xi1 Sheng3] in northwest China
西安电子科技大学,[Xi1 an1 Dian4 zi3 Ke1 ji4 Da4 xue2],Xidian University
西宁,[Xi1 ning2],Xining prefecture level city and capital of Qinghai province 青海省[Qing1 hai3 sheng3] in west China
西宁市,[Xi1 ning2 shi4],Xining prefecture level city and capital of Qinghai province 青海省[Qing1 hai3 sheng3] in west China
西屯区,[Xi1 tun2 Qu1],Xitun District of Taichung, Taiwan
西山区,[Xi1 shan1 qu1],Xishan district of Kunming city 昆明市[Kun1 ming2 shi4], Yunnan
西峰,[Xi1 feng1],Western peak
西峰区,[Xi1 feng1 qu1],Xifeng district of Qingyang city 慶陽市|庆阳市[Qing4 yang2 shi4], Gansu
西峡,[Xi1 xia2],Xixia county in Nanyang 南陽|南阳[Nan2 yang2], Henan
西峡县,[Xi1 xia2 xian4],Xixia county in Nanyang 南陽|南阳[Nan2 yang2], Henan
西岗区,[Xi1 gang3 qu1],Xigang district of Dalian 大連市|大连市[Da4 lian2 shi4], Liaoning
西屿,[Xi1 yu3],Xiyu or Hsiyu township in Penghu county 澎湖縣|澎湖县[Peng2 hu2 xian4] (Pescadores Islands), Taiwan
西屿乡,[Xi1 yu3 xiang1],Xiyu or Hsiyu township in Penghu county 澎湖縣|澎湖县[Peng2 hu2 xian4] (Pescadores Islands), Taiwan
西岳,[Xi1 yue4],Mt Hua 華山|华山 in Shaanxi, one of the Five Sacred Mountains 五嶽|五岳[Wu3 yue4]
西工区,[Xi1 gong1 qu1],Xigong district of Luoyang City 洛陽市|洛阳市 in Henan province 河南
西市区,[Xi1 shi4 qu1],West city district
西平,[Xi1 ping2],Xiping county in Zhumadian 駐馬店|驻马店[Zhu4 ma3 dian4], Henan
西平县,[Xi1 ping2 xian4],Xiping county in Zhumadian 駐馬店|驻马店[Zhu4 ma3 dian4], Henan
西康,[Xi1 kang1],historic province of Tibet in Kham region and west Sichuan, a province of Republic of China 1928-49 with capital Ya'an 雅安[Ya3 an1]
西康省,[Xi1 kang1 sheng3],western Kham
西厢记,[Xi1 xiang1 Ji4],Romance of the West Chamber by Wang Shifu 王實甫|王实甫[Wang2 Shi2 fu3]
西式,[xi1 shi4],Western style
西弗,[Xi1 fu2],Sievert (Sv), unit of radiation damage used in radiotherapy
西弗吉尼亚,[Xi1 Fu2 ji2 ni2 ya4],West Virginia, US state
西弗吉尼亚州,[Xi1 Fu2 ji2 ni2 ya4 zhou1],West Virginia, US state
西征,[xi1 zheng1],punitive expedition to the west
西德,[Xi1 De2],West Germany
西德尼,[Xi1 de2 ni2],Sidney or Sydney (name)
西戎,[Xi1 rong2],the Xirong, an ancient ethnic group of Western China from the Zhou Dynasty onwards
西打,[xi1 da2],cider (loanword)
西拉,[Xi1 la1],Syrah (grape type)
西拉雅族,[Xi1 la1 ya3 zu2],Siraya, one of the indigenous peoples of Taiwan
西撒哈拉,[Xi1 Sa1 ha1 la1],Western Sahara
西敏,[Xi1 min3],Westminster, a London borough
西文,[Xi1 wen2],Spanish
西斯塔尼,[Xi1 si1 ta3 ni2],Sistani (name of a prominent Iraqi Ayatollah)
西斯廷,[Xi1 si1 ting2],Sistine (Chapel)
西斯汀,[Xi1 si1 ting1],Sistine (Chapel)
西方,[Xi1 fang1],the West
西方人,[Xi1 fang1 ren2],Westerner
西方松鸡,[xi1 fang1 song1 ji1],(bird species of China) western capercaillie (Tetrao urogallus)
西方极乐世界,[xi1 fang1 ji2 le4 shi4 jie4],Western Pure Land of Ultimate Bliss or Sukhavati (Sanskrit)
西方滨鹬,[xi1 fang1 bin1 yu4],(bird species of China) western sandpiper (Calidris mauri)
西方狍,[xi1 fang1 pao2],roe deer
西方秧鸡,[xi1 fang1 yang1 ji1],(bird species of China) water rail (Rallus aquaticus)
西方马脑炎病毒,[xi1 fang1 ma3 nao3 yan2 bing4 du2],western equine encephalitis (WEE) virus
西施,[Xi1 shi1],Xishi (c. 450 BC), famous Chinese beauty, foremost of the Four legendary beauties 四大美女[si4 da4 mei3 nu:3], given by King Gou Jian 勾踐|勾践[Gou1 Jian4] of Yue as concubine to King of Wu as part of a successful plan to destroy Wu
西施犬,[xi1 shi1 quan3],shih tzu (dog breed)
西昌,[Xi1 chang1],Xichang cosmodrome
西昌市,[Xi1 chang1 shi4],Xichang county level city in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liang2 shan1 Yi2 zu2 zi4 zhi4 zhou1], south Sichuan
西晋,[Xi1 Jin4],Western Jin dynasty (265-316)
西历,[xi1 li4],Gregorian calendar
西服,[xi1 fu2],suit
西村,[Xi1 cun1],Nishimura (Japanese surname)
西松,[Xi1 song1],see 西松建設|西松建设[Xi1 song1 Jian4 she4]
西松建设,[Xi1 song1 Jian4 she4],Nishimatsu Construction Co.
西林,[Xi1 lin2],Xilin county in Baise 百色[Bai3 se4], Guangxi
西林区,[Xi1 lin2 qu1],Xilin district of Yichun city 伊春市[Yi1 chun1 shi4], Heilongjiang
西林县,[Xi1 lin2 xian4],Xilin county in Baise 百色[Bai3 se4], Guangxi
西柚,[xi1 you4],grapefruit
西格玛,[Xi1 ge2 ma3],sigma (Greek letter Σσ)
西格蒙德,[Xi1 ge2 meng1 de2],Sigmund (name)
西格马,[xi1 ge2 ma3],sigma (Greek letter Σσ)
西楼梦,[Xi1 lou2 meng4],Qing dynasty novel the Western Chamber by Yuan Yuling 袁于令
西楼记,[Xi1 lou2 Ji4],Qing dynasty novel the Western Chamber by Yuan Yuling 袁于令[Yuan2 Yu2 ling4]
西欧,[Xi1 ou1],Western Europe
西欧联盟,[Xi1 ou1 Lian2 meng2],Western European Union (WEU)
西江,[Xi1 jiang1],Xijiang River
西沉,[xi1 chen2],(of the sun) to set
西沙,[Xi1 sha1],see 西沙群島|西沙群岛[Xi1 sha1 Qun2 dao3]
西沙群岛,[Xi1 sha1 Qun2 dao3],Paracel Islands, in the South China Sea
西洋,[xi1 yang2],the West (Europe and North America)
西洋人,[xi1 yang2 ren2],Westerner
西洋参,[xi1 yang2 shen1],American ginseng (Panax quinquefolius)
西洋景,[xi1 yang2 jing3],see 西洋鏡|西洋镜[xi1 yang2 jing4]
西洋杉,[xi1 yang2 shan1],cedar
西洋棋,[xi1 yang2 qi2],chess
西洋菜,[xi1 yang2 cai4],watercress (Nasturtium officinale)
西洋镜,[xi1 yang2 jing4],(old) peep show
西洛赛宾,[xi1 luo4 sai4 bin1],psilocybin
西海,[Xi1 Hai3],Yellow Sea (Korean term)
西凉,[Xi1 Liang2],Western Liang of the Sixteen Kingdoms (400-421)
西港,[Xi1 gang3],West Harbor
西港乡,[Xi1 gang3 xiang1],Hsikang township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan
西湖,[Xi1 hu2],Xihu or West lake (place name)
西湖区,[Xi1 hu2 qu1],West lake district (place name)
西湖乡,[Xi1 hu2 xiang1],Xihu or Hsihu township in Miaoli county 苗栗縣|苗栗县[Miao2 li4 xian4], northwest Taiwan
西汉,[Xi1 Han4],Western Han Dynasty (206 BC-8 AD), also called 前漢|前汉[Qian2 Han4], Former Han Dynasty
西澳大利亚,[Xi1 Ao4 da4 li4 ya4],Western Australia, Australian state
西澳大利亚州,[Xi1 ao4 da4 li4 ya4 zhou1],Western Australia, Australian state
西乌珠穆沁旗,[Xi1 wu1 zhu1 mu4 qin4 qi2],West Ujimqin banner or Baruun Üzemchin khoshuu in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xi1 lin2 guo1 le4 meng2], Inner Mongolia
西墙,[Xi1 qiang2],Western Wall, or Wailing Wall (Jerusalem)
西王母,[Xi1 wang2 mu3],Xi Wangmu, Queen Mother of the West, keeper of the peaches of immortality
西班牙,[Xi1 ban1 ya2],Spain
西班牙人,[Xi1 ban1 ya2 ren2],Spaniard
西班牙文,[Xi1 ban1 ya2 wen2],Spanish (language)
西班牙港,[Xi1 ban1 ya2 gang3],Port-of-Spain, capital of Trinidad and Tobago
西班牙语,[Xi1 ban1 ya2 yu3],Spanish language
西瓜,[xi1 gua1],watermelon
西番莲,[xi1 fan1 lian2],passion flower
西番雅书,[Xi1 fan1 ya3 shu1],Book of Zephaniah
西畴,[Xi1 chou2],Xichou county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1], Yunnan
西畴县,[Xi1 chou2 xian4],Xichou county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1], Yunnan
西皮,[xi1 pi2],one of the two chief types of music in Chinese opera
西盟佤族自治县,[Xi1 meng2 Wa3 zu2 Zi4 zhi4 xian4],Ximeng Va Autonomous County in Pu'er 普洱[Pu3 er3], Yunnan
西盟县,[Xi1 meng2 xian4],Ximeng Va autonomous county in Pu'er 普洱[Pu3 er3], Yunnan
西直门,[Xi1 zhi2 men2],Xizhimen neighborhood of Beijing
西秀,[Xi1 xiu4],Xixiu district of Anshun city 安順市|安顺市[An1 shun4 shi4], Guizhou
西秀区,[Xi1 xiu4 qu1],Xixiu district of Anshun city 安順市|安顺市[An1 shun4 shi4], Guizhou
西科尔斯基,[Xi1 ke1 er3 si1 ji1],Sikorski (name)
西秦,[Xi1 Qin2],Western Qin of the Sixteen Kingdoms (385-431)
西端,[xi1 duan1],western extremity
西米,[xi1 mi3],sago
西米德兰兹,[Xi1 mi3 de2 lan2 zi1],West Midlands, UK county, capital Birmingham 伯明翰[Bo2 ming2 han4]
西米德兰兹郡,[Xi1 mi3 de2 lan2 zi1 jun4],West Midlands, UK county, capital Birmingham 伯明翰[Bo2 ming2 han4]
西米露,[xi1 mi3 lu4],tapioca pudding
西红柿,[xi1 hong2 shi4],tomato
西红脚隼,[xi1 hong2 jiao3 sun3],(bird species of China) red-footed falcon (Falco vespertinus)
西红角鸮,[xi1 hong2 jiao3 xiao1],(bird species of China) Eurasian scops owl (Otus scops)
西经,[xi1 jing1],longitude west
西耶那,[Xi1 ye1 na4],Fiat Siena
西花厅,[Xi1 hua1 ting1],Xihuating pavilion on west side on Zhongnanhai, home to 周恩來|周恩来
西芹,[xi1 qin2],celery
西华,[Xi1 hua2],Xihua county in Zhoukou 周口[Zhou1 kou3], Henan
西华县,[Xi1 hua2 xian4],Xihua county in Zhoukou 周口[Zhou1 kou3], Henan
西万尼,[Xi1 wan4 ni2],Silvaner (grape type)
西葫芦,[xi1 hu2 lu5],zucchini
西蒙·舒斯特,[Xi1 meng3 · Shu1 si1 te4],Simon and Schuster, US publisher
西萨摩亚,[Xi1 Sa4 mo2 ya4],Western Samoa
西藏,[Xi1 zang4],Tibet
西藏人,[Xi1 zang4 ren2],Tibetan (person)
西藏毛腿沙鸡,[Xi1 zang4 mao2 tui3 sha1 ji1],(bird species of China) Tibetan sandgrouse (Syrrhaptes tibetanus)
西藏百万农奴解放纪念日,[Xi1 zang4 Bai3 wan4 Nong2 nu2 Jie3 Fang4 Ji4 nian4 ri4],Serf Liberation Day (PRC)
西藏自治区,[Xi1 zang4 Zi4 zhi4 qu1],Tibetan autonomous region, Tibetan: Bod rang skyong ljongs, abbr. 藏[Zang4], capital Lhasa 拉薩|拉萨[La1 sa4]
西艺,[Xi1 yi4],Western skills
西药,[xi1 yao4],Western medicine
西兰花,[xi1 lan2 hua1],broccoli
西螺,[Xi1 luo2],Xiluo or Hsilo town in Yunlin county 雲林縣|云林县[Yun2 lin2 xian4], Taiwan
西螺镇,[Xi1 luo2 zhen4],Xiluo or Hsilo town in Yunlin county 雲林縣|云林县[Yun2 lin2 xian4], Taiwan
西装,[xi1 zhuang1],suit
西装革履,[xi1 zhuang1 ge2 lu:3],dressed in Western-style clothes
西西,[xi1 xi1],cubic centimeter (cc) (loanword)
西西里,[Xi1 xi1 li3],Sicily
西西里岛,[Xi1 xi1 li3 Dao3],Sicily
西丰,[Xi1 feng1],Xifeng county in Tieling 鐵嶺|铁岭, Liaoning
西丰县,[Xi1 feng1 xian4],Xifeng county in Tieling 鐵嶺|铁岭, Liaoning
西贡,[Xi1 gong4],Saigon, capital of former South Vietnam
西游补,[Xi1 you2 bu3],one of three Ming dynasty sequels to Journey to the West 西遊記|西游记
西游记,[Xi1 you2 Ji4],Journey to the West, Ming dynasty novel by Wu Cheng'en 吳承恩|吴承恩, one of the Four Classic Novels of Chinese literature
西辽,[Xi1 Liao2],Western Liao, Khitan kingdom of central Asia 1132-1218
西边,[xi1 bian1],west
西边儿,[xi1 bian1 r5],erhua variant of 西邊|西边[xi1 bian1]
西部,[xi1 bu4],western part
西部片,[Xi1 bu4 pian4],Western (film)
西乡,[Xi1 xiang1],Xixiang County in Hanzhong 漢中|汉中[Han4 zhong1], Shaanxi
西乡塘,[Xi1 xiang1 tang2],Xixiangtang District of Nanning City 南寧市|南宁市[Nan2 ning2 Shi4], Guangxi
西乡塘区,[Xi1 xiang1 tang2 Qu1],Xixiangtang District of Nanning City 南寧市|南宁市[Nan2 ning2 Shi4], Guangxi
西乡县,[Xi1 xiang1 Xian4],Xixiang County in Hanzhong 漢中|汉中[Han4 zhong1], Shaanxi
西医,[xi1 yi1],Western medicine
西里尔,[Xi1 li3 er3],Cyril (name)
西里尔字母,[Xi1 li3 er3 zi4 mu3],Cyrillic alphabet
西里西亚,[Xi1 li3 xi1 ya4],Silesia
西门,[Xi1 men2],surname Ximen
西门子,[Xi1 men2 zi3],Siemens (company name)
西门子公司,[Xi1 men2 zi3 Gong1 si1],Siemens AG
西门庆,[Xi1 men1 Qing4],Ximen Qing, character from 金瓶梅[Jin1 ping2 mei2] and 水滸傳|水浒传[Shui3 hu3 Zhuan4]
西门町,[Xi1 men2 ding1],Ximending (neighborhood in Wanhua district, Taipei)
西门豹,[Xi1 Men2 bao4],Xi Menbao (active around 422 BC), statesman, general and hydraulic engineer of Wei state 魏國|魏国[Wei4 guo2]
西陵,[Xi1 ling2],Xiling district of Yichang city 宜昌市[Yi2 chang1 shi4], Hubei
西陵区,[Xi1 ling2 qu1],Xiling district of Yichang city 宜昌市[Yi2 chang1 shi4], Hubei
西陵峡,[Xi1 ling2 Xia2],Xiling Gorge on the Changjiang or Yangtze, the lower of the Three Gorges 三峽|三峡[San1 Xia2]
西雅图,[Xi1 ya3 tu2],Seattle, Washington State
西双版纳,[Xi1 shuang1 ban3 na4],abbr. for 西雙版納傣族自治州|西双版纳傣族自治州 Xishuangbanna, Dhai autonomous prefecture in south Yunnan
西双版纳傣族自治州,[Xi1 shuang1 ban3 na4 Dai3 zu2 zi4 zhi4 zhou1],Xishuangbanna Dhai autonomous prefecture in south Yunnan 雲南|云南
西双版纳州,[Xi1 shuang1 ban3 na4 zhou1],Xishuangbanna Dhai autonomous prefecture in south Yunnan 雲南|云南
西双版纳粗榧,[xi1 shuang1 ban3 na4 cu1 fei3],Cephalotaxus mannii (botany)
西青,[Xi1 qing1],Xiqing suburban district of Tianjin municipality 天津市[Tian1 jin1 shi4]
西青区,[Xi1 qing1 qu1],Xiqing suburban district of Tianjin municipality 天津市[Tian1 jin1 shi4]
西非,[Xi1 Fei1],West Africa
西面,[xi1 mian4],west side
西顿,[Xi1 dun4],Sidon (Lebanon)
西领角鸮,[xi1 ling3 jiao3 xiao1],(bird species of China) collared scops owl (Otus lettia)
西餐,[xi1 can1],Western-style food
西魏,[Xi1 Wei4],Western Wei of the Northern dynasties (535-557), formed from the break-up of Wei of the Northern Dynasties 北魏
西鲱,[xi1 fei1],allis shad (Alosa alosa)
西鹌鹑,[xi1 an1 chun2],(bird species of China) common quail (Coturnix coturnix)
西黄鹡鸰,[xi1 huang2 ji2 ling2],(bird species of China) western yellow wagtail (Motacilla flava)
西点,[Xi1 dian3],West Point, US military academy in New York
西点,[xi1 dian3],Western-style pastry
要,[yao1],to demand
要,[yao4],important
要不,[yao4 bu4],otherwise
要不得,[yao4 bu5 de5],intolerable
要不是,[yao4 bu5 shi4],if it were not for
要不然,[yao4 bu4 ran2],otherwise
要之,[yao4 zhi1],in brief
要事,[yao4 shi4],important matter
要人,[yao4 ren2],important person
要件,[yao4 jian4],key document
要价,[yao4 jia4],asking price
要功,[yao1 gong1],variant of 邀功[yao1 gong1]
要加牛奶,[yao4 jia1 niu2 nai3],with milk
要务,[yao4 wu4],key task
要命,[yao4 ming4],to cause sb's death
要员,[yao4 yuan2],key participant
要嘛,[yao4 ma5],either ...
要图,[yao4 tu2],main plan
要地,[yao4 di4],strategic location
要塞,[yao4 sai4],stronghold
要好,[yao4 hao3],to be on good terms
要子,[yao4 zi5],straw rope
要害,[yao4 hai4],vital part
要强,[yao4 qiang2],eager to excel
要径,[yao4 jing4],important path
要得,[yao4 de2],good
要挟,[yao1 xie2],to threaten
要击,[yao1 ji1],to intercept
要政,[yao4 zheng4],important governmental or administrative matter
要旨,[yao4 zhi3],the gist (of a text or argument)
要是,[yao4 shi5],if
要晕,[yao1 yun1],confused
要有,[yao4 you3],to need
要末,[yao4 me5],variant of 要麼|要么[yao4 me5]
